Date,Name,Year,Letterboxd URI,Rating
2023-02-19,The Devil All the Time,2020,https://boxd.it/i2tY,3.5
2023-02-19,The Imitation Game,2014,https://boxd.it/6aig,4
2023-02-27,Popstar: Never Stop Never Stopping,2016,https://boxd.it/blDa,4.5
2023-03-02,Cocaine Bear,2023,https://boxd.it/ugw2,1.5
2023-03-02,Running,2022,https://boxd.it/yzP6,4.5
2023-03-12,Bullet Train,2022,https://boxd.it/qW26,3.5
2023-03-13,"Hail, Caesar!",2016,https://boxd.it/881G,4
2023-03-26,My Neighbor Totoro,1988,https://boxd.it/20eA,5
2023-04-16,The Super Mario Bros. Movie,2023,https://boxd.it/i8C8,3.5
2023-05-23,Guardians of the Galaxy Vol. 3,2023,https://boxd.it/fVNI,4.5
2023-06-06,Spider-Man: Across the Spider-Verse,2023,https://boxd.it/kSz4,5
2023-06-06,North by Northwest,1959,https://boxd.it/2aRM,4.5
2023-07-16,Mission: Impossible – Dead Reckoning,2023,https://boxd.it/l7zS,3.5
2023-07-24,Barbie,2023,https://boxd.it/bCLK,4
2023-07-24,Oppenheimer,2023,https://boxd.it/wUow,4.5
2023-07-31,A Man Named Scott,2021,https://boxd.it/xBYM,1.5
2023-07-31,The Nice Guys,2016,https://boxd.it/94Hg,5
2023-08-01,Catch Me If You Can,2002,https://boxd.it/29VS,4
2023-08-01,Eternal Sunshine of the Spotless Mind,2004,https://boxd.it/6YK,4
2023-08-02,Mulholland Drive,2001,https://boxd.it/297o,4
2023-08-02,Zombieland,2009,https://boxd.it/1En6,3.5
2023-08-04,The Banshees of Inisherin,2022,https://boxd.it/p7XS,4.5
2023-08-05,Alien,1979,https://boxd.it/2awY,4.5
2023-08-07,Ghost in the Shell,1995,https://boxd.it/1YYc,4
2023-08-07,John Wick,2014,https://boxd.it/7dEc,3
2023-08-09,The Breakfast Club,1985,https://boxd.it/27q4,3.5
2023-08-09,Arrival,2016,https://boxd.it/aNGk,4
2023-08-11,Pulp Fiction,1994,https://boxd.it/29Pq,4.5
2023-08-11,TÁR,2022,https://boxd.it/uNIA,4.5
2023-08-12,Porco Rosso,1992,https://boxd.it/1Tp2,5
2023-08-12,Bohemian Rhapsody,2018,https://boxd.it/f1TK,2
2023-08-14,The Bad Guys,2022,https://boxd.it/nkg4,3.5
2023-08-16,Little Miss Sunshine,2006,https://boxd.it/29EW,4.5
2023-12-06,Five Nights at Freddy's,2023,https://boxd.it/ikHu,2
2023-12-06,Godzilla Minus One,2023,https://boxd.it/zu4c,5
2023-12-06,8 Mile,2002,https://boxd.it/2bew,3
2023-12-13,Fight Club,1999,https://boxd.it/2a9q,4
2023-12-17,Enola Holmes,2020,https://boxd.it/hX2o,1.5
2023-12-17,The Big Lebowski,1998,https://boxd.it/2b6C,3
2023-12-19,Get Out,2017,https://boxd.it/eOCm,4
2024-01-05,Black Swan,2010,https://boxd.it/Sw0,4.5
2024-01-06,Marriage Story,2019,https://boxd.it/hJAw,4.5
2024-01-07,Snowpiercer,2013,https://boxd.it/3Icg,3.5
2024-01-07,John Wick: Chapter 2,2017,https://boxd.it/ayGu,3
2024-01-07,Prisoners,2013,https://boxd.it/4E5i,3.5
2024-01-07,Leave the World Behind,2023,https://boxd.it/re0i,1.5
2024-01-07,Mr. Harrigan's Phone,2022,https://boxd.it/r6VK,0.5
2024-01-08,El Camino: A Breaking Bad Movie,2019,https://boxd.it/kv0q,4
2024-01-08,La La Land,2016,https://boxd.it/a5fa,3.5
2024-01-08,Jurassic World,2015,https://boxd.it/4n0g,3
2024-01-10,School of Rock,2003,https://boxd.it/28xK,4
2024-01-10,John Wick: Chapter 4,2023,https://boxd.it/mh48,4
2024-01-11,L.A. Confidential,1997,https://boxd.it/27oC,3.5
2024-01-12,Solo: A Star Wars Story,2018,https://boxd.it/bGWs,4
2024-01-12,Shutter Island,2010,https://boxd.it/1U82,4.5
2024-01-13,John Wick: Chapter 3 – Parabellum,2019,https://boxd.it/gmFw,3
2024-01-16,The Departed,2006,https://boxd.it/28MA,4
2024-01-27,The Batman,2022,https://boxd.it/eDGs,5
2024-01-28,The Fast and the Furious: Tokyo Drift,2006,https://boxd.it/1Yeo,2
2024-01-28,Princess Mononoke,1997,https://boxd.it/2b4w,4
2024-01-31,Citizen Kane,1941,https://boxd.it/71O,4
2024-02-06,The Matrix,1999,https://boxd.it/2a1m,3.5
2024-02-07,Out of Sight,1998,https://boxd.it/28R6,3.5
2024-02-07,RRR,2022,https://boxd.it/ljDs,4
2024-02-07,The Lord of the Rings: The Fellowship of the Ring,2001,https://boxd.it/2b5O,5
2024-02-08,May December,2023,https://boxd.it/vEE2,5
2024-02-13,Mystic River,2003,https://boxd.it/2aAG,2.5
2024-02-14,Do the Right Thing,1989,https://boxd.it/29gA,5
